Questions,Acceptance Rate,Difficulty,Links,Liked,Leetcode Tags,Premium
1085. Sum of Digits in the Minimum Number,76.40%,Easy,https://leetcode.com/problems/sum-of-digits-in-the-minimum-number/,,,True
1086. High Five,75.00%,Easy,https://leetcode.com/problems/high-five/,,,True
1087. Brace Expansion,66.20%,Medium,https://leetcode.com/problems/brace-expansion/,,,True
1088. Confusing Number II,47.20%,Hard,https://leetcode.com/problems/confusing-number-ii/,,,True
1089. Duplicate Zeros,51.60%,Easy,https://leetcode.com/problems/duplicate-zeros/,,,True
1090. Largest Values From Labels,61.10%,Medium,https://leetcode.com/problems/largest-values-from-labels/,,,True
1091. Shortest Path in Binary Matrix,44.80%,Medium,https://leetcode.com/problems/shortest-path-in-binary-matrix/,4.7K,"Array,Breadth-First Search,Matrix",
1092. Shortest Common Supersequence,58.00%,Hard,https://leetcode.com/problems/shortest-common-supersequence/,3.8K,"String,Dynamic Programming",
1093. Statistics from a Large Sample,43.10%,Medium,https://leetcode.com/problems/statistics-from-a-large-sample/,,,True
1094. Car Pooling,56.80%,Medium,https://leetcode.com/problems/car-pooling/,4K,"Array,Sorting,Heap (Priority Queue),Simulation,Prefix Sum",
1095. Find in Mountain Array,35.30%,Hard,https://leetcode.com/problems/find-in-mountain-array/,2K,"Array,Binary Search,Interactive",
1096. Brace Expansion II,63.50%,Hard,https://leetcode.com/problems/brace-expansion-ii/,441,"String,Backtracking,Stack,Breadth-First Search",
1097. Game Play Analysis V,52.90%,Hard,https://leetcode.com/problems/game-play-analysis-v/,,,True
1098. Unpopular Books,43.90%,Medium,https://leetcode.com/problems/unpopular-books/,,,True
1099. Two Sum Less Than K,61.10%,Easy,https://leetcode.com/problems/two-sum-less-than-k/,,,True
1100. Find K-Length Substrings With No Repeated Characters,74.70%,Medium,https://leetcode.com/problems/find-k-length-substrings-with-no-repeated-characters/,,,True
1101. The Earliest Moment When Everyone Become Friends,64.60%,Medium,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends/,,,True
1102. Path With Maximum Minimum Value,53.30%,Medium,https://leetcode.com/problems/path-with-maximum-minimum-value/,,,True
1103. Distribute Candies to People,64.40%,Easy,https://leetcode.com/problems/distribute-candies-to-people/,855,"Math,Simulation",
1104. Path In Zigzag Labelled Binary Tree,75.10%,Medium,https://leetcode.com/problems/path-in-zigzag-labelled-binary-tree/,1.3K,"Math,Tree,Binary Tree",
1105. Filling Bookcase Shelves,59.50%,Medium,https://leetcode.com/problems/filling-bookcase-shelves/,,,True
1106. Parsing A Boolean Expression,58.40%,Hard,https://leetcode.com/problems/parsing-a-boolean-expression/,,,True
1107. New Users Daily Count,45.00%,Medium,https://leetcode.com/problems/new-users-daily-count/,,,True
1108. Defanging an IP Address,89.00%,Easy,https://leetcode.com/problems/defanging-an-ip-address/,,,True
1109. Corporate Flight Bookings,60.70%,Medium,https://leetcode.com/problems/corporate-flight-bookings/,,,True
1110. Delete Nodes And Return Forest,69.30%,Medium,https://leetcode.com/problems/delete-nodes-and-return-forest/,3.4K,"Array,Hash Table,Tree,Depth-First Search,Binary Tree",
1111. Maximum Nesting Depth of Two Valid Parentheses Strings,72.90%,Medium,https://leetcode.com/problems/maximum-nesting-depth-of-two-valid-parentheses-strings/,374,"String,Stack",
1112. Highest Grade For Each Student,71.70%,Medium,https://leetcode.com/problems/highest-grade-for-each-student/,,,True
1113. Reported Posts,65.20%,Easy,https://leetcode.com/problems/reported-posts/,,,True
1114. Print in Order,68.50%,Easy,https://leetcode.com/problems/print-in-order/,1.2K,Concurrency,
1115. Print FooBar Alternately,62.90%,Medium,https://leetcode.com/problems/print-foobar-alternately/,592,Concurrency,
1116. Print Zero Even Odd,60.30%,Medium,https://leetcode.com/problems/print-zero-even-odd/,419,Concurrency,
1117. Building H2O,55.70%,Medium,https://leetcode.com/problems/building-h2o/,,,True
1118. Number of Days in a Month,57.30%,Easy,https://leetcode.com/problems/number-of-days-in-a-month/,,,True
1119. Remove Vowels from a String,90.80%,Easy,https://leetcode.com/problems/remove-vowels-from-a-string/,,,True
1120. Maximum Average Subtree,65.60%,Medium,https://leetcode.com/problems/maximum-average-subtree/,,,True
1121. Divide Array Into Increasing Sequences,60.70%,Hard,https://leetcode.com/problems/divide-array-into-increasing-sequences/,,,True
1122. Relative Sort Array,68.60%,Easy,https://leetcode.com/problems/relative-sort-array/,,,True
1123. Lowest Common Ancestor of Deepest Leaves,70.90%,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-deepest-leaves/,1.7K,"Hash Table,Tree,Depth-First Search,Breadth-First Search,Binary Tree",
1124. Longest Well-Performing Interval,34.60%,Medium,https://leetcode.com/problems/longest-well-performing-interval/,,,True
1125. Smallest Sufficient Team,47.10%,Hard,https://leetcode.com/problems/smallest-sufficient-team/,925,"Array,Dynamic Programming,Bit Manipulation,Bitmask",
1126. Active Businesses,66.50%,Medium,https://leetcode.com/problems/active-businesses/,,,True
1127. User Purchase Platform,49.30%,Hard,https://leetcode.com/problems/user-purchase-platform/,,,True
1128. Number of Equivalent Domino Pairs,47.20%,Easy,https://leetcode.com/problems/number-of-equivalent-domino-pairs/,,,True
1129. Shortest Path with Alternating Colors,48.40%,Medium,https://leetcode.com/problems/shortest-path-with-alternating-colors/,,,True
1130. Minimum Cost Tree From Leaf Values,68.20%,Medium,https://leetcode.com/problems/minimum-cost-tree-from-leaf-values/,,,True
1131. Maximum of Absolute Value Expression,49.00%,Medium,https://leetcode.com/problems/maximum-of-absolute-value-expression/,,,True
1132. Reported Posts II,33.00%,Medium,https://leetcode.com/problems/reported-posts-ii/,,,True
1133. Largest Unique Number,67.80%,Easy,https://leetcode.com/problems/largest-unique-number/,,,True
1134. Armstrong Number,77.80%,Easy,https://leetcode.com/problems/armstrong-number/,,,True
1135. Connecting Cities With Minimum Cost,61.40%,Medium,https://leetcode.com/problems/connecting-cities-with-minimum-cost/,,,True
1136. Parallel Courses,61.40%,Medium,https://leetcode.com/problems/parallel-courses/,,,True
1137. N-th Tribonacci Number,63.60%,Easy,https://leetcode.com/problems/n-th-tribonacci-number/,3.5K,"Math,Dynamic Programming,Memoization",
1138. Alphabet Board Path,52.00%,Medium,https://leetcode.com/problems/alphabet-board-path/,,,True
1139. Largest 1-Bordered Square,50.20%,Medium,https://leetcode.com/problems/largest-1-bordered-square/,,,True
1140. Stone Game II,64.60%,Medium,https://leetcode.com/problems/stone-game-ii/,1.7K,"Array,Math,Dynamic Programming,Game Theory",
1141. User Activity for the Past 30 Days I,48.40%,Easy,https://leetcode.com/problems/user-activity-for-the-past-30-days-i/,,,True
1142. User Activity for the Past 30 Days II,35.60%,Easy,https://leetcode.com/problems/user-activity-for-the-past-30-days-ii/,,,True
1143. Longest Common Subsequence,58.30%,Medium,https://leetcode.com/problems/longest-common-subsequence/,10.9K,"String,Dynamic Programming",
1144. Decrease Elements To Make Array Zigzag,47.30%,Medium,https://leetcode.com/problems/decrease-elements-to-make-array-zigzag/,,,True
1145. Binary Tree Coloring Game,51.80%,Medium,https://leetcode.com/problems/binary-tree-coloring-game/,,,True
1146. Snapshot Array,37.00%,Medium,https://leetcode.com/problems/snapshot-array/,,,True
1147. Longest Chunked Palindrome Decomposition,59.00%,Hard,https://leetcode.com/problems/longest-chunked-palindrome-decomposition/,,,True
1148. Article Views I,75.80%,Easy,https://leetcode.com/problems/article-views-i/,,,True
1149. Article Views II,47.10%,Medium,https://leetcode.com/problems/article-views-ii/,,,True
1150. Check If a Number Is Majority Element in a Sorted Array,57.20%,Easy,https://leetcode.com/problems/check-if-a-number-is-majority-element-in-a-sorted-array/,,,True
1151. Minimum Swaps to Group All 1's Together,60.90%,Medium,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together/,,,True
1152. Analyze User Website Visit Pattern,43.10%,Medium,https://leetcode.com/problems/analyze-user-website-visit-pattern/,,,True
1153. String Transforms Into Another String,35.30%,Hard,https://leetcode.com/problems/string-transforms-into-another-string/,,,True
1154. Day of the Year,49.30%,Easy,https://leetcode.com/problems/day-of-the-year/,,,True
1155. Number of Dice Rolls With Target Sum,54.00%,Medium,https://leetcode.com/problems/number-of-dice-rolls-with-target-sum/,3.8K,Dynamic Programming,
1156. Swap For Longest Repeated Character Substring,44.90%,Medium,https://leetcode.com/problems/swap-for-longest-repeated-character-substring/,,,True
1157. Online Majority Element In Subarray,41.80%,Hard,https://leetcode.com/problems/online-majority-element-in-subarray/,,,True
1158. Market Analysis I,59.10%,Medium,https://leetcode.com/problems/market-analysis-i/,,,True
1159. Market Analysis II,57.50%,Hard,https://leetcode.com/problems/market-analysis-ii/,,,True
1160. Find Words That Can Be Formed by Characters,67.30%,Easy,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters/,1.3K,"Array,Hash Table,String",
1161. Maximum Level Sum of a Binary Tree,66.00%,Medium,https://leetcode.com/problems/maximum-level-sum-of-a-binary-tree/,2K,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",
1162. As Far from Land as Possible,51.80%,Medium,https://leetcode.com/problems/as-far-from-land-as-possible/,3.9K,"Array,Dynamic Programming,Breadth-First Search,Matrix",
1163. Last Substring in Lexicographical Order,34.80%,Hard,https://leetcode.com/problems/last-substring-in-lexicographical-order/,,,True
1164. Product Price at a Given Date,64.60%,Medium,https://leetcode.com/problems/product-price-at-a-given-date/,,,True
1165. Single-Row Keyboard,86.60%,Easy,https://leetcode.com/problems/single-row-keyboard/,,,True
1166. Design File System,62.10%,Medium,https://leetcode.com/problems/design-file-system/,,,True
1167. Minimum Cost to Connect Sticks,68.60%,Medium,https://leetcode.com/problems/minimum-cost-to-connect-sticks/,,,True
1168. Optimize Water Distribution in a Village,64.50%,Hard,https://leetcode.com/problems/optimize-water-distribution-in-a-village/,,,True
1169. Invalid Transactions,31.10%,Medium,https://leetcode.com/problems/invalid-transactions/,,,True
1170. Compare Strings by Frequency of the Smallest Character,61.60%,Medium,https://leetcode.com/problems/compare-strings-by-frequency-of-the-smallest-character/,,,True
1171. Remove Zero Sum Consecutive Nodes from Linked List,43.20%,Medium,https://leetcode.com/problems/remove-zero-sum-consecutive-nodes-from-linked-list/,1.9K,"Hash Table,Linked List",
1172. Dinner Plate Stacks,33.10%,Hard,https://leetcode.com/problems/dinner-plate-stacks/,,,True
1173. Immediate Food Delivery I,82.30%,Easy,https://leetcode.com/problems/immediate-food-delivery-i/,,,True
1174. Immediate Food Delivery II,60.60%,Medium,https://leetcode.com/problems/immediate-food-delivery-ii/,,,True
1175. Prime Arrangements,54.90%,Easy,https://leetcode.com/problems/prime-arrangements/,,,True
1176. Diet Plan Performance,52.80%,Easy,https://leetcode.com/problems/diet-plan-performance/,,,True
1177. Can Make Palindrome from Substring,38.10%,Medium,https://leetcode.com/problems/can-make-palindrome-from-substring/,684,"Hash Table,String,Bit Manipulation,Prefix Sum",
1178. Number of Valid Words for Each Puzzle,46.20%,Hard,https://leetcode.com/problems/number-of-valid-words-for-each-puzzle/,,,True
1179. Reformat Department Table,80.00%,Easy,https://leetcode.com/problems/reformat-department-table/,,,True
1180. Count Substrings with Only One Distinct Letter,79.00%,Easy,https://leetcode.com/problems/count-substrings-with-only-one-distinct-letter/,,,True
1181. Before and After Puzzle,45.30%,Medium,https://leetcode.com/problems/before-and-after-puzzle/,,,True
1182. Shortest Distance to Target Color,55.50%,Medium,https://leetcode.com/problems/shortest-distance-to-target-color/,,,True
1183. Maximum Number of Ones,61.50%,Hard,https://leetcode.com/problems/maximum-number-of-ones/,,,True
1184. Distance Between Bus Stops,54.00%,Easy,https://leetcode.com/problems/distance-between-bus-stops/,670,Array,
1185. Day of the Week,57.40%,Easy,https://leetcode.com/problems/day-of-the-week/,,,True
1186. Maximum Subarray Sum with One Deletion,41.50%,Medium,https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion/,,,True
1187. Make Array Strictly Increasing,45.60%,Hard,https://leetcode.com/problems/make-array-strictly-increasing/,820,"Array,Binary Search,Dynamic Programming,Sorting",
1188. Design Bounded Blocking Queue,72.70%,Medium,https://leetcode.com/problems/design-bounded-blocking-queue/,,,True
1189. Maximum Number of Balloons,60.80%,Easy,https://leetcode.com/problems/maximum-number-of-balloons/,,,True
1190. Reverse Substrings Between Each Pair of Parentheses,65.90%,Medium,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses/,,,True
1191. K-Concatenation Maximum Sum,23.70%,Medium,https://leetcode.com/problems/k-concatenation-maximum-sum/,,,True
1192. Critical Connections in a Network,54.70%,Hard,https://leetcode.com/problems/critical-connections-in-a-network/,,,True
1193. Monthly Transactions I,64.20%,Medium,https://leetcode.com/problems/monthly-transactions-i/,218,Database,
1194. Tournament Winners,50.30%,Hard,https://leetcode.com/problems/tournament-winners/,,,True
1195. Fizz Buzz Multithreaded,72.70%,Medium,https://leetcode.com/problems/fizz-buzz-multithreaded/,488,Concurrency,
1196. How Many Apples Can You Put into the Basket,66.90%,Easy,https://leetcode.com/problems/how-many-apples-can-you-put-into-the-basket/,,,True
1197. Minimum Knight Moves,39.70%,Medium,https://leetcode.com/problems/minimum-knight-moves/,,,True
1198. Find Smallest Common Element in All Rows,76.50%,Medium,https://leetcode.com/problems/find-smallest-common-element-in-all-rows/,,,True
1199. Minimum Time to Build Blocks,41.00%,Hard,https://leetcode.com/problems/minimum-time-to-build-blocks/,,,True
1200. Minimum Absolute Difference,69.60%,Easy,https://leetcode.com/problems/minimum-absolute-difference/,2.1K,"Array,Sorting",
1201. Ugly Number III,29.00%,Medium,https://leetcode.com/problems/ugly-number-iii/,1.1K,"Math,Binary Search,Number Theory",
1202. Smallest String With Swaps,57.80%,Medium,https://leetcode.com/problems/smallest-string-with-swaps/,3.4K,"Hash Table,String,Depth-First Search,Breadth-First Search,Union Find",
1203. Sort Items by Groups Respecting Dependencies,51.20%,Hard,https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies/,,,True
1204. Last Person to Fit in the Bus,71.50%,Medium,https://leetcode.com/problems/last-person-to-fit-in-the-bus/,275,Database,
1205. Monthly Transactions II,42.60%,Medium,https://leetcode.com/problems/monthly-transactions-ii/,,,True
1206. Design Skiplist,60.40%,Hard,https://leetcode.com/problems/design-skiplist/,565,"Linked List,Design",
1207. Unique Number of Occurrences,73.50%,Easy,https://leetcode.com/problems/unique-number-of-occurrences/,,,True
1208. Get Equal Substrings Within Budget,48.90%,Medium,https://leetcode.com/problems/get-equal-substrings-within-budget/,958,"String,Binary Search,Sliding Window,Prefix Sum",
1209. Remove All Adjacent Duplicates in String II,56.30%,Medium,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/,5.2K,"String,Stack",
1210. Minimum Moves to Reach Target with Rotations,49.30%,Hard,https://leetcode.com/problems/minimum-moves-to-reach-target-with-rotations/,,,True
1211. Queries Quality and Percentage,69.30%,Easy,https://leetcode.com/problems/queries-quality-and-percentage/,158,Database,
1212. Team Scores in Football Tournament,56.80%,Medium,https://leetcode.com/problems/team-scores-in-football-tournament/,,,True
1213. Intersection of Three Sorted Arrays,79.90%,Easy,https://leetcode.com/problems/intersection-of-three-sorted-arrays/,,,True
1214. Two Sum BSTs,66.10%,Medium,https://leetcode.com/problems/two-sum-bsts/,,,True
1215. Stepping Numbers,46.40%,Medium,https://leetcode.com/problems/stepping-numbers/,,,True
1216. Valid Palindrome III,50.40%,Hard,https://leetcode.com/problems/valid-palindrome-iii/,,,True
1217. Minimum Cost to Move Chips to The Same Position,71.80%,Easy,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position/,2K,"Array,Math,Greedy",
1218. Longest Arithmetic Subsequence of Given Difference,52.00%,Medium,https://leetcode.com/problems/longest-arithmetic-subsequence-of-given-difference/,1.4K,"Array,Hash Table,Dynamic Programming",
